年月,日最高気温の平均(℃),日最低気温の平均(℃),平均気温(℃),日照時間(時間),アイスクリーム・シャーベット(円)
2011-01-01,9.1,1.5,5.1,243.9,463
2011-02-01,11.2,3.2,7,148.9,360
2011-03-01,12.3,4,8.1,214.8,380
2011-04-01,18.9,10.3,14.5,204,584
2011-05-01,22.2,15,18.5,146.3,763
2011-06-01,26,19.9,22.8,105.1,886
2011-07-01,30.9,24.5,27.3,186.2,1168
2011-08-01,31.2,24.6,27.5,168.9,1325
2011-09-01,28.8,22,25.1,165.8,847
2011-10-01,23,16.5,19.5,141.3,542
2011-11-01,18.3,11.7,14.9,143.4,441
2011-12-01,11.1,4.2,7.5,187.6,499
2012-01-01,8.3,1.8,4.8,183,363
2012-02-01,9.1,2.2,5.4,148.6,327
2012-03-01,12.5,5.3,8.8,149.7,414
2012-04-01,18.5,11,14.5,162.4,545
2012-05-01,23.6,16.1,19.6,195.4,726
2012-06-01,24.8,18.6,21.4,125.3,847
2012-07-01,30.1,23.5,26.4,181.3,1122
2012-08-01,33.1,26.3,29.1,236,1355
2012-09-01,29.8,23.3,26.2,164.4,916
2012-10-01,23,16.2,19.4,156.6,571
2012-11-01,16.3,9.6,12.7,153.3,377
2012-12-01,11.2,3.8,7.3,166.9,465
2013-01-01,9.6,1.8,5.5,212.5,377
2013-02-01,10.3,2.7,6.2,173.7,362
2013-03-01,16.4,7.9,12.1,190.1,518
2013-04-01,19.2,10.8,15.2,196,683
2013-05-01,24.1,16,19.8,227.1,838
2013-06-01,26.5,20,22.9,123.9,1012
2013-07-01,31.4,24.2,27.3,163.4,1267
2013-08-01,33.2,26,29.2,210.6,1464
2013-09-01,28.8,21.8,25.2,164.2,1000
2013-10-01,23,17,19.8,110.4,629
2013-11-01,17.4,9.8,13.5,177.4,448
2013-12-01,12.1,4.9,8.3,181.8,466
2014-01-01,10.6,2.5,6.3,204.1,404
2014-02-01,9.8,2.8,5.9,139.8,343
2014-03-01,14.5,6.7,10.4,205,493
2014-04-01,19.6,11,15,218.3,575
2014-05-01,24.7,16.7,20.3,236.5,921
2014-06-01,26.9,20.7,23.4,143,1019
2014-07-01,30.5,23.9,26.8,175.6,1149
2014-08-01,31.2,24.8,27.7,180.9,1303
2014-09-01,26.9,20.1,23.2,145.8,805
2014-10-01,23,16,19.1,135.2,739
2014-11-01,17.4,11.3,14.2,134.6,587
2014-12-01,11,2.8,6.7,185.2,561
2015-01-01,10.4,1.8,5.8,182,486
2015-02-01,10.4,1.9,5.7,166.9,470
2015-03-01,15.5,5.8,10.3,194.2,564
2015-04-01,19.3,10.1,14.5,149.5,609
2015-05-01,26.4,16.6,21.1,240.6,899
2015-06-01,26.4,18.6,22.1,137.3,946
2015-07-01,30.1,23.2,26.2,181.8,1295
2015-08-01,30.5,23.9,26.7,137.6,1325
2015-09-01,26.4,19.8,22.6,113.3,760
2015-10-01,22.7,14.8,18.4,181.3,667
2015-11-01,17.8,10.7,13.9,120.1,564
2015-12-01,13.4,5.8,9.3,162,633
2016-01-01,10.6,1.8,6.1,201.5,478
2016-02-01,12.2,3.1,7.2,160.1,450
2016-03-01,14.9,6.1,10.1,161.9,567
2016-04-01,20.3,11.3,15.4,149.2,611
2016-05-01,25.2,15.7,20.2,204.9,947
2016-06-01,26.3,19.1,22.4,139.1,962
2016-07-01,29.7,22.1,25.4,143.7,1309
2016-08-01,31.6,23.9,27.1,156.5,1307
2016-09-01,27.7,21.9,24.4,79.4,930
2016-10-01,22.6,15.3,18.7,119.6,668
2016-11-01,15.5,8.1,11.4,132.1,496
2016-12-01,13.8,4.5,8.9,193.7,650
2017-01-01,10.8,1.7,5.8,226.7,506
2017-02-01,12.1,2.6,6.9,193.7,423
2017-03-01,13.4,4.2,8.5,190.3,531
2017-04-01,19.9,10.2,14.7,198.8,672
2017-05-01,25.1,16,20,216.9,871
2017-06-01,26.4,18.5,22,158.8,986
2017-07-01,31.8,24,27.3,189.1,1368
2017-08-01,30.4,23.4,26.4,83.7,1319
2017-09-01,26.8,19.5,22.8,124.4,924
2017-10-01,20.1,14.2,16.8,94.7,716
2017-11-01,16.6,7.9,11.9,162.7,651
2017-12-01,11.1,2.7,6.6,211.1,708
2018-01-01,9.4,0.6,4.7,206.1,609
2018-02-01,10.1,1.3,5.4,167.3,535
2018-03-01,16.9,6.5,11.5,198,717
2018-04-01,22.1,12.4,17,201.8,890
2018-05-01,24.6,15.4,19.8,199.3,1054
2018-06-01,26.6,19.1,22.4,163.1,1077
2018-07-01,32.7,25,28.3,227.2,1425
2018-08-01,32.5,24.6,28.1,217.4,1378
2018-09-01,26.6,19.9,22.9,96.7,900
2018-10-01,23,15.8,19.1,139,725
2018-11-01,17.7,10.6,14,151,554
2018-12-01,12.1,4.7,8.3,145.3,542
2019-01-01,10.3,1.4,5.6,222.2,561
2019-02-01,11.6,3.3,7.2,138,459
2019-03-01,15.4,6.2,10.6,177.3,604
2019-04-01,19,9.2,13.6,194.4,745
2019-05-01,25.3,15.3,20,229.4,1105
2019-06-01,25.8,18.5,21.8,129.5,973
2019-07-01,27.5,21.6,24.1,81.1,1263
2019-08-01,32.8,25.2,28.4,187.8,1533
2019-09-01,29.4,21.7,25.1,137.6,1044
2019-10-01,23.3,16.4,19.4,112.8,821
2019-11-01,17.7,9.3,13.1,170.3,621
2019-12-01,12.6,5.2,8.5,128.6,601
2020-01-01,11.1,3.7,7.1,139.8,549
2020-02-01,13.3,4,8.3,196.1,572
2020-03-01,16,6.2,10.7,181.9,711
2020-04-01,18.2,7.9,12.8,213.4,819
2020-05-01,24,15.6,19.5,175.5,1141
2020-06-01,27.5,19.8,23.2,136.3,1350
2020-07-01,27.7,21.8,24.3,47.7,1285
2020-08-01,34.1,25.3,29.1,254.7,1643
2020-09-01,28.1,21.5,24.2,105.7,1133
2020-10-01,21.4,14.4,17.5,113.9,784
2020-11-01,18.6,10.1,14,156.6,682
2020-12-01,12.3,3.7,7.7,167.9,587
